assemblydist,borough,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
79,X,203,15,17,Steppin Up Community Garden,PRI,"MULTIPOLYGON (((-73.89513428306847 40.82979385626819, -73.89498973844852 40.82971459910741, -73.89492657113941 40.829788297551474, -73.89507436125866 40.82986339835489, -73.89513428306847 40.82979385626819)))",,,,,,,,XGT038,42,32,Not GreenThumb,"10,459"
83,X,212,16,12,211th Street Community Garden,NYRP,"MULTIPOLYGON (((-73.86374758935008 40.87798001486763, -73.86392845590112 40.87756335620064, -73.86354783415149 40.877555660571126, -73.86340214345876 40.877894593215274, -73.86374758935008 40.87798001486763)))",,,,,,,,XGT037,47,36,Active,"10,467"
86,X,206,15,15,Tremont Community Garden,BLT,"MULTIPOLYGON (((-73.89401227547363 40.847241138580884, -73.89467314418975 40.84746834388727, -73.89482116720417 40.847218324764995, -73.89449108704915 40.84710484489542, -73.89445427139664 40.84716702806317, -73.89412464130719 40.84705370153924, -73.89401227547363 40.847241138580884)))",,,,,,,,XGT036,48,33,Active,"10,457"
84,X,204,15,8,Target Bronx (Anderson Avenue Community Garden),NYRP,"MULTIPOLYGON (((-73.92698923646648 40.83287374885035, -73.92713281826892 40.83293785221831, -73.92729214377863 40.83272957111018, -73.92714856108753 40.83266546703713, -73.92698923646648 40.83287374885035)))",,,,,,,,XGT035,44,29,Active,"10,452"
79,X,204,15,16,"Sun, Wind & Shade Oasis",BLT,"MULTIPOLYGON (((-73.91940704796717 40.82855340316388, -73.91943510334531 40.82856282844102, -73.91949180056307 40.82846148486571, -73.91950511289237 40.828437692264906, -73.9194882154292 40.828432238775676, -73.91917080577704 40.828329788001, -73.91910097036438 40.828454610726546, -73.91940704796717 40.82855340316388)))",,,10:00a - 7:00p,10:00a - 7:00p,,,,XGT034,44,32,Active,"10,456"
81,X,208,16,11,Schervier Community Garden,PRI,"MULTIPOLYGON (((-73.91746182898126 40.88192182955841, -73.91739123165543 40.88197983254212, -73.91763078265629 40.882139118889654, -73.9176755365604 40.88205808628771, -73.91746182898126 40.88192182955841)))",,,,,,,,XGT033,50,34,Not GreenThumb,"10,463"
84,X,204,15,16,Roberto Clemente Community Garden,BLT,"MULTIPOLYGON (((-73.92251082676887 40.839172038493544, -73.92266943111932 40.83892195806586, -73.92230846405681 40.83876641003034, -73.92214238474507 40.8390240715831, -73.92251082676887 40.839172038493544)))",,,,,,,,XGT032,44,29,Active,"10,452"
82,X,210,16,12,Rivers Run Waterfront Community Garden,PRI,"MULTIPOLYGON (((-73.82378840680134 40.87496482761745, -73.82429727989727 40.87496870118885, -73.82432391093266 40.87471581854056, -73.82431395300003 40.87457434817989, -73.82430694350462 40.874505016921475, -73.82428927721101 40.874376455042054, -73.82427814203429 40.87430386943153, -73.8242172560209 40.87392800418103, -73.82386950109229 40.87400323484349, -73.82382469947841 40.874208900425295, -73.82378840680134 40.87496482761745)))",,,,,,,,XGT031,45,34,Active,"10,475"
85,X,202,15,17,Paradise on Earth Garden,NYRP,"MULTIPOLYGON (((-73.89440587575834 40.82691343532006, -73.89438406994317 40.82681870839816, -73.89424369535054 40.82652582762753, -73.89397292515592 40.82660092258532, -73.8939696031468 40.82690465679923, -73.89440587575834 40.82691343532006)))",,,,,,,,XGT030,41,32,Active,"10,459"
79,X,201,15,17,Palmas del Caribe (Eagle Avenue Community Garden),BLT,"MULTIPOLYGON (((-73.90853256294217 40.822138209000414, -73.90888161948223 40.822221505719575, -73.90898916418234 40.821959656951755, -73.90864491627728 40.82186465340681, -73.90853256294217 40.822138209000414)))",,,,,,,,XGT029,40,32,Active,"10,456"
85,X,202,15,17,Mildred T. Rhodebeck Garden (Garden of Eden),NYRP,"MULTIPOLYGON (((-73.88982557034255 40.821580669478145, -73.88980221005522 40.82130437385228, -73.88945895015395 40.82145798431848, -73.8894642192759 40.82166343589926, -73.88983104393864 40.821645403312935, -73.88982557034255 40.821580669478145)))",,,,,,,,XGT028,41,32,Active,"10,459"
85,X,209,15,18,Manor Avenue Seniors Garden,BLT,"MULTIPOLYGON (((-73.87548803092608 40.824661767006084, -73.87550262374413 40.8247225293527, -73.87586527606258 40.824674094493645, -73.87585068411278 40.82461333039272, -73.87548803092608 40.824661767006084)))",,,,,,,,XGT027,43,32,Active,"10,472"
79,X,203,15,16,Jacquline Denise Davis Garden,BLT,"MULTIPOLYGON (((-73.90647926277914 40.82602309529865, -73.906503712865 40.82602899626323, -73.90659909434477 40.82596686369994, -73.90667777996799 40.82591466892706, -73.90671859287558 40.82588759972373, -73.90679775740377 40.8258225893983, -73.90679810882851 40.82581205478087, -73.9067734857781 40.82580611231579, -73.9066110627218 40.82576076969492, -73.90657499243632 40.825750983604784, -73.9063534635958 40.82569088131837, -73.90630651611563 40.82567994087957, -73.90630265669388 40.82569143527568, -73.90624843973923 40.82567733446919, -73.90614124006947 40.82594151760048, -73.90647926277914 40.82602309529865)))",,,,,,,,XGT026,42,32,Active,"10,456"
