assemblydist,borough,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
32,Q,412,5,27,Merrick-Marsden Neighborhood Association Garden II,BQLT,"MULTIPOLYGON (((-73.77484086806241 40.68680983115696, -73.77495348969771 40.686881650633055, -73.77526292533304 40.686778016076246, -73.77512675491238 40.686578549489404, -73.7750997803158 40.68659440079668, -73.77484086806241 40.68680983115696)))",,,,,,,,QGT014,113,10,Active,"11,434"
37,Q,402,12,26,Smiling Hogshead Ranch,MTA,"MULTIPOLYGON (((-73.94356887008134 40.742966170367545, -73.9435937174337 40.74295037864052, -73.94362010152064 40.742933257611426, -73.94364597769767 40.742916100307504, -73.9436782596642 40.74289417704503, -73.94370263553435 40.742877227912224, -73.94373308800198 40.74285555948405, -73.94376589614919 40.742831578795276, -73.94378032903893 40.742820115182305, -73.94382137797382 40.74278730452555, -73.94387542357538 40.74274160852878, -73.94389665260886 40.742722924344925, -73.9439117668267 40.742709355661646, -73.94385878570084 40.74261451005298, -73.9438143947966 40.74264560182646, -73.94377834991694 40.74266940985329, -73.94371097135492 40.742702733526066, -73.94357910995352 40.742730330781406, -73.94352924743525 40.74274076573351, -73.94345870554513 40.742809827032296, -73.94332394132887 40.742881238542694, -73.94321737921516 40.742944325107146, -73.94323284001001 40.74296888235209, -73.9429115254114 40.74310308098445, -73.94304423961502 40.74325770971858, -73.94321622880966 40.743189710908915, -73.94328166471807 40.74316390130205, -73.94350740749343 40.74307486295484, -73.94346438608584 40.74301514543145, -73.94354989273893 40.74297795050599, -73.94356887008134 40.742966170367545)))",,,,,,,,QGT013,108,12,Active,"11,101"
30,Q,402,14,26,Sunnyside Park Community Garden,PRI / DOT,"MULTIPOLYGON (((-73.9147742012127 40.750055453163974, -73.91361755235764 40.7501052882535, -73.91359125822736 40.750174547189154, -73.91363625822248 40.7501806953766, -73.91366685830852 40.75018407990631, -73.9136815083704 40.750185700090796, -73.91372694947506 40.750189552282045, -73.91377253416985 40.75019225191475, -73.91381821511143 40.75019378094305, -73.91386393306873 40.75019415733279, -73.91390964068671 40.75019337204341, -73.91397718447087 40.750191657514115, -73.91403890136114 40.7501907760677, -73.91410063007929 40.7501899036021, -73.91416235879578 40.7501890311034, -73.91419759545182 40.750188153248565, -73.91421395207107 40.7501877457957, -73.91426553350334 40.750186460456014, -73.91431712678624 40.75018516609698, -73.91438086132466 40.750180647922456, -73.91444459586602 40.7501761207076, -73.91449816625872 40.75017232342782, -73.91450833038714 40.75017160246255, -73.91457206491116 40.75016707517717, -73.914635799415 40.75016255686157, -73.9146995339217 40.750158029505634, -73.91474717728678 40.75015465185913, -73.9147742012127 40.750055453163974)))",,,,,,,,QGT012,108,12,Active,"11,104"
23,Q,414,5,31,Seagirt Boulevard Community Garden,NYRP,"MULTIPOLYGON (((-73.76349644604089 40.59574297277478, -73.7634289206578 40.595465334013596, -73.76326213312576 40.5954831946672, -73.76331809250765 40.59576240813995, -73.76349644604089 40.59574297277478)))",,,,,,,,QGT010,101,10,Active,"11,691"
32,Q,412,5,27,Merrick-Marsden Neighborhood Association Garden,BQLT,"MULTIPOLYGON (((-73.77399437411883 40.686216000133236, -73.7740970880865 40.68628872042478, -73.77433944610516 40.68608904621873, -73.77423733480971 40.68601583023881, -73.77399437411883 40.686216000133236)))",,,,,,,,QGT009,113,10,Active,"11,434"
35,Q,403,14,21,McIntosh Neighborhood Association Garden,BQLT,"MULTIPOLYGON (((-73.86958335121194 40.7639459069208, -73.86958115029037 40.76393340541803, -73.86936918299494 40.764052326414195, -73.86956624826992 40.76425719938176, -73.86956660758263 40.76425757349815, -73.86957286278465 40.76425666296509, -73.86959770119823 40.764243948034064, -73.86960610198986 40.76423964682451, -73.8696277737946 40.7642285528142, -73.86963227190417 40.76422375641103, -73.86960174224605 40.76405036382044, -73.86959688239453 40.764022762340225, -73.86958725758684 40.76396809528679, -73.86958335121194 40.7639459069208)))",,,,,,,,QGT008,115,13,Active,"11,369"
35,Q,403,14,21,Malcolm X Garden,BQLT,"MULTIPOLYGON (((-73.85754319409068 40.757648437865285, -73.85768051989105 40.75790955537391, -73.85776044381136 40.75789833652576, -73.8576182996937 40.75762804870586, -73.85754319409068 40.757648437865285)))",,,,,,,,QGT007,115,13,Active,"11,368"
37,Q,402,12,26,FF Michael Brennan Memorial LIC Roots Community Garden,MTA,"MULTIPOLYGON (((-73.93779695020865 40.743132491188646, -73.93777996604605 40.74320467476588, -73.93836351318112 40.74327217807206, -73.93838429105105 40.7431606830025, -73.93832734317002 40.74315497662602, -73.93831864924557 40.74319966503651, -73.93779695020865 40.743132491188646)))",,,,,,,,QGT006,108,12,Active,"11,101"
29,Q,412,5,27,Linden Boulevard Community Garden,NYRP,"MULTIPOLYGON (((-73.77040351981172 40.692696715004224, -73.77028968243822 40.69240183088775, -73.77002713651873 40.69249038468729, -73.77001958026024 40.69263715190091, -73.77001989362476 40.69263719665244, -73.77005865268258 40.69264273212827, -73.77037132358252 40.69269144128215, -73.77040255377237 40.692696556387105, -73.77040351981172 40.692696715004224)))",,,,,,,,QGT005,113,14,Active,"11,434"
32,Q,412,5,28,Dunton and Civic Association Community Garden,BQLT,"MULTIPOLYGON (((-73.80596759209675 40.68970121520795, -73.80591072775994 40.68966155156683, -73.80579445487986 40.68958252788213, -73.80569170595417 40.689512695963195, -73.80562682750289 40.689568599363355, -73.80590452683113 40.68975483811316, -73.80596063281617 40.6897071324677, -73.80596759209675 40.68970121520795)))",,,,,,,,QGT004,103,10,Active,"11,435"
32,Q,412,5,28,Back To Eden Community Garden,BQLT,"MULTIPOLYGON (((-73.80380367280188 40.68956141089278, -73.80375013920745 40.68952446511274, -73.80365125095743 40.689644060494885, -73.80367603252711 40.68966116304141, -73.80380367280188 40.68956141089278)))",,,,,,,,QGT003,103,10,Active,"11,435"
32,Q,412,5,27,"Curtis ""50 Cent"" Jackson Community Garden",NYRP,"MULTIPOLYGON (((-73.7810881759169 40.68473869887509, -73.7809576311874 40.6845147972364, -73.7809006833408 40.68441712414195, -73.78055495125675 40.684536148498466, -73.78100477336852 40.684803133335784, -73.78102472584304 40.684795677207035, -73.78106007507517 40.68478369645802, -73.7810437539272 40.68475270744273, -73.7810881759169 40.68473869887509)))",,,,,,,,QGT002,113,10,Active,"11,434"
33,Q,413,5,27,Cambria Heights Community Garden,BQLT,"MULTIPOLYGON (((-73.73448596138253 40.69346669232292, -73.73430575487073 40.69340951594145, -73.73406184238621 40.693335941353446, -73.73405942651014 40.69333593577082, -73.73405650249724 40.69333667013941, -73.73404006767817 40.693361664731576, -73.73394970183608 40.693533713056034, -73.73394691429223 40.693539975110575, -73.73432469099902 40.693648695540396, -73.73433471836536 40.693668460721284, -73.73434807017996 40.69367162173885, -73.73438986034422 40.69365104052491, -73.7344777732542 40.69348240006015, -73.73448596138253 40.69346669232292)))",,,,,,,,QGT001,105,14,Active,"11,411"
31,Q,413,5,31,Garden of Resilience,DPR,"MULTIPOLYGON (((-73.7656094318553 40.663674732585605, -73.76561309224505 40.663666229235716, -73.76570132282914 40.66346126977091, -73.76567810533234 40.66345555911332, -73.76567207468989 40.6634540762807, -73.76563946504731 40.663446054660966, -73.76563561673261 40.66344510847943, -73.76561380174817 40.6634397428636, -73.76560676834194 40.66345608106335, -73.76560219107766 40.66346671497475, -73.76559761381499 40.66347734798546, -73.76551614211616 40.663666605285165, -73.7655103570172 40.66368004274892, -73.76549689591604 40.6637099323615, -73.76558483674924 40.66373156737361, -73.7655874486922 40.66372561576088, -73.76559160205079 40.663716151661646, -73.7656094318553 40.663674732585605)))",,,,,,,,Q519-GT001,105,10,Active,"11,434"
31,Q,414,5,31,Bay 84th Street Community Garden,DPR,"MULTIPOLYGON (((-73.81003002317298 40.59108539669187, -73.81004988405704 40.59101401697859, -73.80969671833691 40.59095537757283, -73.80966851051147 40.59102537190082, -73.8096162077589 40.59115547958304, -73.80999311076803 40.59121805956179, -73.81003002317298 40.59108539669187)))",,,,,,,,Q518-GT001,100,10,Active,"11,693"
31,Q,414,5,31,Edgemere Coalition Community Garden,DPR,"MULTIPOLYGON (((-73.77459387440784 40.59803605653737, -73.77461904841249 40.59825327662062, -73.77496056910545 40.59822838358711, -73.77493539399907 40.598011163578164, -73.77459387440784 40.59803605653737)))",10:00a - 2:00p,,10:00a - 2:00p,10:00a - 2:00p,10:00a - 2:00p,10:00a - 2:00p,,Q511-GT001,101,10,Active,"11,691"
30,Q,401,12,26,Windmill Community Garden,DPR,"MULTIPOLYGON (((-73.93532823160218 40.75319903393631, -73.93539119373935 40.75314140267775, -73.93505323439284 40.752974791044394, -73.93500227272472 40.75302965083127, -73.93532823160218 40.75319903393631)))",8:00a - 8:00p,8:00a - 8:00p,8:00a - 8:00p,8:00a - 8:00p,8:00a - 8:00p,8:00a - 8:00p,8:00a - 8:00p,Q507-GT001,114,12,Active,"11,101"
23,Q,414,5,31,Community Serenity Garden,DPR,"MULTIPOLYGON (((-73.7634289206578 40.595465334013596, -73.76349644604089 40.59574297277478, -73.76374534772488 40.595715805293736, -73.76369487859691 40.59543964709903, -73.7634289206578 40.595465334013596)))",,,,,,,,Q505-GT001,101,10,Active,"11,691"
31,Q,414,5,31,426 Beach 36th Street Garden,DPR,"MULTIPOLYGON (((-73.76876818248482 40.59695645525552, -73.7683762267321 40.59700130275605, -73.76839044938782 40.59707628037297, -73.76878221174239 40.597031455847926, -73.76876818248482 40.59695645525552)))",,,,,,,,Q503-GT001,101,10,Inactive (No Group),"11,691"
35,Q,403,14,21,97th Street Block Association,DPR,"MULTIPOLYGON (((-73.87161937918967 40.75616277962379, -73.87160893064787 40.756103291349476, -73.87160743366034 40.75609476278833, -73.87124997705347 40.75613289378084, -73.87124577577579 40.75613334203974, -73.87125868641115 40.75620118709412, -73.87125869930695 40.756201254646534, -73.87126192104037 40.756200910651664, -73.87161937918967 40.75616277962379)))",9:00a - 11:00a,7:30a - 9:30a,8:00a - 1:00p,9:00a - 11:00a,9:00a - 11:00a,9:00a - 11:00a,9:00a - 11:00a,Q495-GT001,115,13,Active,"11,368"
32,Q,412,5,28,Discovery Community Garden 2,DPR,"MULTIPOLYGON (((-73.79062942451519 40.694867169883764, -73.7906631299922 40.69491336099037, -73.79075545127621 40.69503987746944, -73.79077096522735 40.69506113712205, -73.79112090941709 40.69491322109045, -73.79097936800086 40.694719254278944, -73.79062942451519 40.694867169883764)))",,,,,,,,Q493-GT002,103,10,Active,"11,433"
32,Q,412,5,28,Discovery Community Garden 1,DPR,"MULTIPOLYGON (((-73.79112518866239 40.69463757663774, -73.79120466551068 40.694748513046825, -73.79153188866478 40.69461651347245, -73.79144806795317 40.69449884346812, -73.79112518866239 40.69463757663774)))",,,,,,,,Q493-GT001,103,10,Active,"11,433"
29,Q,412,5,27,Phoenix Gate Community Garden,DPR,"MULTIPOLYGON (((-73.77361044340488 40.6835520048073, -73.77408745855917 40.6835871943769, -73.77399208903871 40.68342506263364, -73.77361044340488 40.6835520048073)))",,,,,,,,Q490-GT001,113,10,Active,"11,434"
32,Q,412,5,28,George Washington Carver Botanical Garden,DPR,"MULTIPOLYGON (((-73.79476091624467 40.69243988683909, -73.794774711276 40.692434040079554, -73.79477464648109 40.69243395081296, -73.79473242271378 40.69237650817369, -73.79473060907576 40.69237419241516, -73.79471713745751 40.69237990196743, -73.79439428703527 40.69251673437337, -73.79443805495747 40.69257672475083, -73.79476091624467 40.69243988683909)))",,,,,,,,Q489-GT001,103,10,Active,"11,433"
32,Q,412,5,24,George Eagle Carr Community Garden,DPR,"MULTIPOLYGON (((-73.8072682146036 40.70372172663924, -73.80729222695145 40.703715201197134, -73.80729131436212 40.70371325005682, -73.80723749173734 40.70359815441005, -73.80723405927975 40.7035911120465, -73.80721055618399 40.70359749874983, -73.80712142508746 40.70362172003378, -73.80703732447668 40.703644573697005, -73.80694262980468 40.70367030648341, -73.80684379147954 40.70369716598546, -73.8069034861611 40.703820840055975, -73.8072682146036 40.70372172663924)))",,,,,,,,Q488-GT001,103,14,Active,"11,435"
32,Q,412,5,28,Paradise Community Garden NY,DPR,"MULTIPOLYGON (((-73.8039293354717 40.690607584593245, -73.8039362510526 40.690601735821254, -73.80388471561355 40.69056649909067, -73.8038725172862 40.69055841238557, -73.80380050931831 40.690510673989046, -73.80379591948515 40.69051455639045, -73.8035519852166 40.69072085085531, -73.80368540246127 40.69081387843996, -73.8039293354717 40.690607584593245)))",,,,,,,,Q487-GT001,103,10,Active,"11,435"
32,Q,412,5,28,Better Community Civic Association,DPR,"MULTIPOLYGON (((-73.792225624218 40.68343954025682, -73.79215156481156 40.68333818935244, -73.79211741515553 40.68329145479231, -73.79204940220835 40.68319837968387, -73.79198379030511 40.683226046528716, -73.79191978450349 40.683253036350564, -73.79209613575698 40.68349437475627, -73.792225624218 40.68343954025682)))",,,,,,,,Q486-GT001,113,10,Inactive (No Group),"11,434"
31,Q,414,5,31,Far Rock Urban Agro-Education Center,DPR,"MULTIPOLYGON (((-73.77658014852142 40.59523168615017, -73.77661438369896 40.59550170056489, -73.77661475244798 40.59550306467744, -73.77661538956185 40.595504370777554, -73.77661627860692 40.59550558731476, -73.77661649988043 40.59550583358838, -73.7766187005973 40.59550871054296, -73.7766202690432 40.5955102462864, -73.77662200916622 40.59551166889726, -73.77662390918579 40.59551296844688, -73.77662595378041 40.595514134099226, -73.77662812525976 40.59551515681459, -73.7766304071119 40.59551602845616, -73.7766327828218 40.59551674178762, -73.77663523114609 40.59551729046399, -73.77664537036587 40.59551778474841, -73.7767763883566 40.59550806330313, -73.7769037998771 40.59549860936729, -73.77704652448195 40.59548908954532, -73.777158221762 40.59548164002626, -73.77725599940288 40.59547511797585, -73.77731411557491 40.59547124128104, -73.77729999460028 40.595336663687064, -73.77729860057997 40.595326394093256, -73.77729603958959 40.59530578690564, -73.77729231318813 40.595275792181546, -73.77728842225322 40.59524447876891, -73.77728657575565 40.595229610214204, -73.77728080493084 40.595183170631365, -73.77727843839811 40.59516412353025, -73.77727318762545 40.5951218615924, -73.77727276885246 40.59511849101391, -73.77727203742279 40.59511854092619, -73.77692794681136 40.59514223091193, -73.77693346953943 40.59521087789373, -73.77658014852142 40.59523168615017)))",,,,,,,,Q484-GT002,101,10,Active,"11,691"
31,Q,414,5,31,Edgemere Farm,DPR,"MULTIPOLYGON (((-73.77692794917402 40.59514223091654, -73.77692472707477 40.59511480545775, -73.77688413576496 40.59476929672691, -73.77687727449992 40.594708118802075, -73.77652341262261 40.594732480204534, -73.77652527442359 40.59474731007972, -73.77653184752187 40.594808367695684, -73.77653178489528 40.594808372076514, -73.77653377121183 40.594826238766075, -73.77653803168167 40.59486456801973, -73.77654075770194 40.59488909103201, -73.77655050465755 40.5949767698531, -73.77656954792954 40.59514807514946, -73.77657367420883 40.59518062276502, -73.77658014852142 40.59523168615017, -73.77693346953943 40.59521087789373, -73.77692907320953 40.595156208355554, -73.77692797203098 40.59514246149547, -73.77692794917402 40.59514223091654)))",9:00a - 2:00p,,9:00a - 2:00p,9:00a - 2:00p,9:00a - 2:00p,,9:00a - 2:00p,Q484-GT001,101,10,Active,"11,691"
37,Q,401,12,22,Two Coves Community Garden,DPR,"MULTIPOLYGON (((-73.93189206530141 40.77238355666109, -73.93195021188295 40.77240045203991, -73.93215828177395 40.77246091115647, -73.93253968549135 40.77257282270694, -73.93257225330082 40.77258237809926, -73.93259591035084 40.77258931951213, -73.93260007106929 40.77258157581708, -73.93260394285483 40.772573745504594, -73.93260752333127 40.77256583577728, -73.93261081012503 40.77255785113629, -73.93261379967463 40.77254979968414, -73.93261649079007 40.77254168682313, -73.93261887991073 40.77253351975529, -73.93262096703029 40.77252530478408, -73.93262274858903 40.77251704821103, -73.93262422458055 40.77250875633967, -73.93262514088168 40.77250223182884, -73.93262539262884 40.77250043637253, -73.93262625272749 40.772492094613284, -73.93262680368487 40.77248373826521, -73.93262704549568 40.77247537273131, -73.93262697815177 40.7724670061161, -73.93262660046247 40.77245864472249, -73.93262591360681 40.77245029395412, -73.93262491876129 40.772441961916186, -73.93262361473505 40.77243365491157, -73.93262066552171 40.77242643115078, -73.93261741536959 40.77241928195572, -73.93261387137845 40.772412214534505, -73.93261003354299 40.77240523429013, -73.93260590777665 40.772398350231015, -73.93260149881202 40.77239156776301, -73.93259680900998 40.77238489499196, -73.93259184428767 40.772378337324234, -73.93258661056036 40.772371901967404, -73.93258111019068 40.77236559522625, -73.93257535146293 40.77235942430966, -73.93256933911059 40.77235339372289, -73.93256307904889 40.7723475106733, -73.93255657837938 40.77234178056812, -73.93254984301824 40.772336209714254, -73.9325428788825 40.772330803518166, -73.93253569307461 40.77232556648648, -73.93252829506417 40.772320504928196, -73.93252068958466 40.7723156233486, -73.93251288610658 40.772310927156234, -73.93250489054782 40.772306420856985, -73.93238751500327 40.7722372951456, -73.9322244032853 40.77214657356513, -73.93212865409768 40.772093318170356, -73.93197629448268 40.77209679611738, -73.93157873884225 40.77211425201659, -73.93146988207165 40.77211903113169, -73.93112052904291 40.772133342536286, -73.9311155270568 40.772152662546226, -73.93133038357068 40.77221907594291, -73.93182709212127 40.77236467700737, -73.93189206530141 40.77238355666109)))",,,8:00a - 6:00p,8:00a - 6:00p,,,,Q477-GT001,114,12,Active,"11,102"
28,Q,406,6,29,Project Eden,DPR,"MULTIPOLYGON (((-73.8575444509877 40.716304496499816, -73.8576938131739 40.71635607070383, -73.8578604096528 40.71608253276498, -73.85753721539858 40.71610000302674, -73.8575444509877 40.716304496499816)))",,,,,,,,Q475-GT001,112,15,Active,"11,375"
39,Q,404,14,21,Corona Taxpayers Association,DPR,"MULTIPOLYGON (((-73.85991063808005 40.74176716583182, -73.8602025481746 40.74159732088468, -73.86006097920391 40.741453426045794, -73.85976867449646 40.74163031753387, -73.85991063808005 40.74176716583182)))",,,,,,,,Q474A-GT001,110,13,Active,"11,368"
35,Q,404,14,21,Sparrow's Nest Community Garden,DPR,"MULTIPOLYGON (((-73.85936560409864 40.740346561224314, -73.8592818151204 40.740266744074894, -73.85926437417115 40.740250130896385, -73.8592566692493 40.74024279044193, -73.85920114446107 40.74018989785084, -73.85916593300193 40.74015635588528, -73.85900838340746 40.74022698449814, -73.85896939265558 40.740244463352454, -73.85893227071824 40.740261105208866, -73.85884355484247 40.7403008764213, -73.85852250729731 40.74044479885018, -73.8585338903204 40.74045508403147, -73.85885453971001 40.740311340284244, -73.85895173410294 40.74040394157085, -73.85907637869147 40.74052269290933, -73.85915165566162 40.74047685096613, -73.85936560409864 40.740346561224314)))",,,,,,,,Q473-GT001,110,13,Active,"11,368"
30,Q,401,12,26,Astoria Residents Reclaiming Our World (ARROW),DPR,"MULTIPOLYGON (((-73.92626188905771 40.75594689753891, -73.92605643790957 40.75585089892576, -73.92601453652284 40.75590253402349, -73.9262201179682 40.75599859132695, -73.92626188905771 40.75594689753891)))",,,,,,,,Q470-GT001,114,12,Not GreenThumb,"11,106"
29,Q,412,5,27,Roy Wilkins Community Garden,DPR,"MULTIPOLYGON (((-73.77188418812493 40.68989363947325, -73.77207554035995 40.689772504753655, -73.7721946881984 40.68971317512339, -73.77229813671269 40.689668110003616, -73.77244863351864 40.68959454643854, -73.77283746421192 40.689390409353415, -73.77265952801758 40.689249483771526, -73.77254717027047 40.6891539565031, -73.77203846671595 40.688714547923, -73.77183412152941 40.68853813520721, -73.77167332557515 40.68839931775034, -73.77150496479892 40.68820599118985, -73.77115950979687 40.687831024857054, -73.77112451557377 40.68779304171432, -73.77086377949966 40.68794129447552, -73.77036869650485 40.68822279064773, -73.77039623446436 40.68840630692363, -73.77045864699691 40.688461232364794, -73.77077667567008 40.68882164152779, -73.77082176311238 40.688873589368946, -73.77103409440207 40.689118230283896, -73.77108533331952 40.68917726651605, -73.77137223863932 40.689487577583215, -73.77157509846137 40.689661911555845, -73.77169992792511 40.68977176020752, -73.77188418812493 40.68989363947325)), ((-73.77415343104512 40.688440222610346, -73.77395877008024 40.68853423794151, -73.77429443115047 40.68907524440969, -73.77455704371174 40.688981611098356, -73.77456177915421 40.68897992290193, -73.77459410223993 40.688969284482496, -73.77454489590086 40.68893242811326, -73.77452488642098 40.688902983449516, -73.77482364253608 40.68847769623092, -73.77481295852256 40.68847074765207, -73.77469071639408 40.68839124042446, -73.77437509118263 40.68842493170271, -73.774288370411 40.68841684430131, -73.7742192290896 40.68842033774792, -73.77415343104512 40.688440222610346)))",,,,,,,,Q448-GT002,113,14,Not GreenThumb,"11,434"
29,Q,412,5,27,Senior Citizen Garden Club,DPR,"MULTIPOLYGON (((-73.77112451557377 40.68779304171432, -73.77036869650485 40.68822279064773, -73.77039623446436 40.68840630692363, -73.77045864699691 40.688461232364794, -73.77077667567008 40.68882164152779, -73.77108533331952 40.68917726651605, -73.77137223863932 40.689487577583215, -73.77157509846137 40.689661911555845, -73.77169992792511 40.68977176020752, -73.77188418812493 40.68989363947325, -73.77207554035995 40.689772504753655, -73.7721946881984 40.68971317512339, -73.77229813671269 40.689668110003616, -73.77244863351864 40.68959454643854, -73.77283746421192 40.689390409353415, -73.77265952801758 40.689249483771526, -73.77254717027047 40.6891539565031, -73.77203846671595 40.688714547923, -73.77167332557515 40.68839931775034, -73.77150496479892 40.68820599118985, -73.77112451557377 40.68779304171432)))",,,,,,,,Q448-GT001,113,14,Not GreenThumb,"11,434"
32,Q,412,5,28,Essential Garden,DPR,"MULTIPOLYGON (((-73.7958353275313 40.66923189607654, -73.79582097333837 40.668401287728614, -73.79573840442369 40.66838827545268, -73.79568963741654 40.66837246310795, -73.79557709929988 40.668336523428806, -73.79539895489542 40.668266158139865, -73.79514954775836 40.668169932496276, -73.79507670118214 40.66865871742763, -73.7954464284232 40.668703692615665, -73.79542820645048 40.66913539195699, -73.7958353275313 40.66923189607654)))",,,,,,,,Q440-GT001,113,10,Inactive (No Group),"11,436"
31,Q,414,5,31,Rockaway Youth Task Force Urban Farm,DPR,"MULTIPOLYGON (((-73.78879327802805 40.59468188050019, -73.78875246559596 40.5943044178114, -73.78820980564464 40.59451776830651, -73.78822852424307 40.59471329875807, -73.78879327802805 40.59468188050019)))",10:00a - 8:00p,10:00a - 8:00p,10:00a - 8:00p,,10:00a - 8:00p,10:00a - 8:00p,10:00a - 8:00p,Q371-GT002,100,10,Active,"11,692"
31,Q,414,5,31,Rockaway Roots Urban Farm,DPR,"MULTIPOLYGON (((-73.78882836331125 40.59501500877928, -73.78879327802805 40.59468188050019, -73.78822852424307 40.59471329875807, -73.78826043421118 40.59504660416963, -73.78882836331125 40.59501500877928)))",10:00a - Sundown,10:00a - Sundown,10:00a - Sundown,,10:00a - Sundown,10:00a - Sundown,10:00a - Sundown,Q371-GT001,100,10,Active,"11,692"
25,Q,407,6,20,Evergreen Community Garden,DPR,"MULTIPOLYGON (((-73.82258060091881 40.74830265346128, -73.82245180832346 40.74819666692099, -73.82230926543934 40.7480782707331, -73.8221717301276 40.747961787572464, -73.82191278685866 40.747790793441425, -73.82155622210529 40.747573901708705, -73.82143361683563 40.747498421109725, -73.82110099437946 40.74735829917378, -73.82063383167598 40.74713883557545, -73.8203368635638 40.74759487905967, -73.82027896427421 40.74768913947434, -73.82026624565637 40.747758691087334, -73.82000503019633 40.74803854742404, -73.81998269874045 40.748074422986946, -73.81998239967618 40.74809351599312, -73.82025634419048 40.748190635875694, -73.82064487828033 40.74833095536798, -73.82067619483104 40.74834236854025, -73.82092194153155 40.74843192728897, -73.82096629115954 40.7484482549056, -73.8210103185893 40.748465079084916, -73.82105401554531 40.748482395311775, -73.82109737138113 40.748500199968014, -73.82114037663456 40.748518489437274, -73.82118302302982 40.748537259204596, -73.82122530110449 40.74855650565356, -73.82124776751613 40.748567669900396, -73.82126978380987 40.7485793404304, -73.82129133225622 40.74859150550967, -73.82131238920047 40.74860415519627, -73.82133293928112 40.7486172777599, -73.82135296003464 40.748630860559, -73.82137243610198 40.74864489096284, -73.82139134620351 40.748659356331565, -73.82146366643964 40.74873624576586, -73.82152814211453 40.74880479600164, -73.82159453034777 40.74887241533598, -73.82173607528804 40.748792641462806, -73.82176166182646 40.74879587876333, -73.82258060091881 40.74830265346128)))",,,,,,,,Q300-GT001,109,16,Active,"11,355"
29,Q,412,5,27,CPF Liberty Learning Garden,DPR,"MULTIPOLYGON (((-73.78327813776475 40.70153740571869, -73.78292258687334 40.70140996124435, -73.78291772474947 40.70141800717818, -73.78290961961585 40.70143142126683, -73.78285685822398 40.701518748208855, -73.78281163203746 40.70159359920635, -73.78277394347062 40.701655975173566, -73.7827433309729 40.70170664068438, -73.78292616716287 40.70197400715181, -73.78299858409476 40.70194513182416, -73.78300339020534 40.70194339748884, -73.7830126263474 40.70193950486668, -73.78302041073452 40.70193558159109, -73.78302606551699 40.70193230717365, -73.78303203946949 40.70192840029574, -73.78303984460611 40.70192246350726, -73.78327393289256 40.70154420118953, -73.78327813776475 40.70153740571869)))",,,,,,,,Q121A-GT002,103,14,Active,"11,433"
29,Q,412,5,27,Trees of Life Organic Garden,DPR,"MULTIPOLYGON (((-73.78327393289256 40.70154420118953, -73.78327813776475 40.70153740571869, -73.78329567568623 40.701509067124526, -73.7832987600792 40.70150261714201, -73.78330165323774 40.7014945719879, -73.78330246993596 40.701486484202206, -73.78330174488751 40.70147984514352, -73.78329964359452 40.701471789685705, -73.78325469135534 40.701335892122, -73.78298194828024 40.70131171356681, -73.7829791894778 40.70131627847718, -73.78296464476813 40.701340351526916, -73.78292258687334 40.70140996124435, -73.78291772474947 40.70141800717818, -73.78290961961585 40.70143142126683, -73.78285685822398 40.701518748208855, -73.78281163203746 40.70159359920635, -73.78277394347062 40.701655975173566, -73.78276574667645 40.70166954036522, -73.7827433309729 40.70170664068438, -73.78292616716287 40.70197400715181, -73.78299858409476 40.70194513182416, -73.78300339020534 40.70194339748884, -73.7830126263474 40.70193950486668, -73.78302041073452 40.70193558159109, -73.78302606551699 40.70193230717365, -73.78303203946949 40.70192840029574, -73.78303984460611 40.70192246350726, -73.78314884982252 40.70174632294706, -73.78327393289256 40.70154420118953)))",,,,,,,,Q121A-GT001,103,14,Active,"11,433"
37,Q,402,12,26,Long Island City Community Garden,DPR,"MULTIPOLYGON (((-73.95508212323573 40.74357343928889, -73.95516707169816 40.74359003180925, -73.95525733707758 40.743321657314574, -73.95516476962513 40.74330383990641, -73.95508212323573 40.74357343928889)))",,,,,,,,Q045-GT001,108,12,Active,"11,101"
70,M,110,13,9,Rev. Linnette C. Williamson Memorial Park,PRI,"MULTIPOLYGON (((-73.94287505901958 40.80959391709306, -73.943059927239 40.809340161764744, -73.94297987955751 40.809306434571305, -73.94279501112737 40.80956018887221, -73.94287505901958 40.80959391709306)))",,,,,,,,MGT099,32,30,Active,"10,027"
65,M,101,10,1,Liberty Community Gardens (LCG),PRI,"MULTIPOLYGON (((-74.01544203984173 40.709763401168324, -74.01548146591351 40.70965236647277, -74.01549085912944 40.709655224331456, -74.01555906679513 40.709440304584085, -74.01542818282262 40.709412683716735, -74.01537000208816 40.70966048240603, -74.01534747785185 40.70974435359957, -74.01544203984173 40.709763401168324)))",,,,,,,,MGT098,1,26,Not GreenThumb,"10,280"
70,M,110,13,9,NYCHA - Saint Nicholas - Love Garden,NYCHA,"MULTIPOLYGON (((-73.94765208021441 40.81189308388723, -73.94776258128425 40.81194197699657, -73.94780417872303 40.811881240163444, -73.94783321672585 40.81184134505291, -73.94783165616973 40.81183181438055, -73.94782146879773 40.81182644820763, -73.94772977690396 40.81178530796235, -73.94765208021441 40.81189308388723)))",,,,,,,,MGT097,32,30,Active,"10,027"
