Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Day of Week,Status,Cool Streets
Prospect Park,Brooklyn,Parkside Avenue,Park Circle,Ocean Avenue,Temporary Limited Local Access,2020-05-02T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
"Prospect Heights Neighborhood Development Council, Inc.",Brooklyn,Underhill Avenue,St. Johns Place,Atlantic Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",Active,
Village Alliance,Manhattan,University Place,East 13th Street,West 4th Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:30AM,1:30PM,U,Active,
"Prospect Heights Neighborhood Development Council, Inc.",Brooklyn,Vanderbilt Avenue,Atlantic Avenue,Park Place,Temporary Full Closure,2021-04-02T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,11:00AM,10:00PM,11:00AM,10:00PM,"F,S,U",Active,
Prospect Park,Brooklyn,Prospect Park West,Garfield Place,3rd Street,Temporary Limited Local Access,2020-05-02T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Village Alliance,Manhattan,Washington Place,Greene Street,Washington Square East,Temporary Limited Local Access,2020-09-02T00:00:00.000,8:30AM,7:00PM,8:30AM,7:00PM,8:30AM,7:00PM,8:30AM,7:00PM,8:30AM,7:00PM,N/A,N/A,8:30AM,4:00PM,"M,T,W,R, F,U",Active,
DUMBO Business Improvement District,Brooklyn,Washington Street,Front Street,Water Street,Temporary Full Closure,2021-04-02T00:00:00.000,11:00AM,9:00PM,11:00AM,9:00PM,11:00AM,9:00PM,11:00AM,9:00PM,11:00AM,9:00PM,11:00AM,9:00PM,11:00AM,9:00PM,ALL,Active,
Stapleton,Staten Island,Water Street,Bay Street,Front Street,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Jeffrey's Grocery,Manhattan,Waverly Place,Christopher Street,7th Avenue South,Temporary Full Closure,2020-10-02T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,"R,F,S,U",Active,
West 103rd St Open Streets Community Coalition,Manhattan,West 103rd Street,Broadway,Riverside Drive,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
